No,Card,CardNumber,Set,Printing,ExpectedGrade,Justification,PSA_Lower_Grade,PSA_Lower_Avg,PSA_Lower_Med,PSA_Lower_Count,PSA_Lower_Confidence,PSA_Expected_Grade,PSA_Expected_Avg,PSA_Expected_Med,PSA_Expected_Count,PSA_Expected_Confidence,PSA_Upper_Grade,PSA_Upper_Avg,PSA_Upper_Med,PSA_Upper_Count,PSA_Upper_Confidence,Raw_NM_Price,Grading_Cost,Value_Uplift,Net_ROI,ROI_Percent,Is_Selected_Variant,All_Printings_Found
8,Shining Charizard,107/105,Neo Destiny,1st Edition Holofoil,6,"Front whitening, back top n bottom whitening",5,1500.00,1500.00,1,low,6,1955.52,1725.00,6,high,7,1814.27,1814.27,1,low,3998.99,20,-2043.47,-2063.47,-51.3,Y,Holofoil (Shining Fates: Shiny Vault); 1st Edition Holofoil (Neo Destiny)
9,Shining Mewtwo,109/105,Neo Destiny,1st Edition Holofoil,6,"Front top, back whitening",5,634.70,634.70,1,low,6,1627.12,782.76,6,high,7,2183.00,2650.00,3,medium,926.49,20,700.63,680.63,71.9,Y,Holofoil (Shining Legends); Holofoil (Shining Legends); Holofoil (Shining Legends); Holofoil (Shining Legends); 1st Edition Holofoil (Neo Destiny); Normal (Shining Legends)
9,Shining Mewtwo,109/105,Neo Destiny,1st Edition Holofoil,7,"Front top, back whitening",6,1627.12,782.76,6,high,7,2183.00,2650.00,3,medium,8,1475.55,1297.49,20,high,926.49,20,1256.51,1236.51,130.6,Y,Holofoil (Shining Legends); Holofoil (Shining Legends); Holofoil (Shining Legends); Holofoil (Shining Legends); 1st Edition Holofoil (Neo Destiny); Normal (Shining Legends)
10,Shining Kabutops,108/105,Neo Destiny,Unlimited Holofoil,7,Back top whitening,6,296.00,300.00,5,high,7,440.43,422.00,6,high,8,541.47,500.00,25,high,295.28,20,145.15,125.15,39.7,Y,Unlimited Holofoil (Neo Destiny)
11,Shining Gyarados,65/64,Neo Revelation,Unlimited Holofoil,5,Indent on holo,4,665.00,700.00,3,medium,5,707.40,687.00,6,high,6,820.00,700.00,4,medium,516.24,20,191.16,171.16,31.9,Y,Unlimited Holofoil (Neo Revelation)
12,Rocket's Mewtwo ex,99/109,Team Rocket Returns,Holofoil,9,,8,1191.00,1250.00,10,high,9,1203.52,1600.00,19,high,10,608.57,470.00,7,high,579.99,20,623.53,603.53,100.6,Y,Holofoil (Team Rocket Returns); Holofoil (ME: Ascended Heroes); Holofoil (SV10: Destined Rivals); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (Jumbo Cards); Holofoil (SV10: Destined Rivals); Holofoil (ME: Ascended Heroes); Holofoil (Prize Pack Series Cards); Normal (Miscellaneous Cards & Products); Normal (Miscellaneous Cards & Products)
13,Kingdra,8/111,Neo Genesis,1st Edition Holofoil,4,Indent on holo and back,3,,,0,low,4,,,0,low,5,,,0,low,53.12,20,,,,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SM Promos); Holofoil (Aquapolis); Holofoil (Dragon Frontiers); Holofoil (Dragon); Holofoil (Unleashed); Normal (World Championship Decks); Holofoil (Plasma Freeze); Holofoil (XY - Fates Collide); Holofoil (Legends Awakened); Holofoil (Dragon Majesty); Holofoil (SM - Burning Shadows); 1st Edition (Neo Revelation); Holofoil (Dragon Majesty); Normal (Unleashed); Holofoil (Aquapolis); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (XY - Fates Collide); Holofoil (Team Rocket Returns); Holofoil (XY - Primal Clash); Normal (XY - Primal Clash); Holofoil (Holon Phantoms); Holofoil (SV: Shrouded Fable); Holofoil (Jumbo Cards); Normal (Deck Exclusives); Holofoil (SWSH11: Lost Origin); Holofoil (SWSH05: Battle Styles); Holofoil (SV04: Paradox Rift); Holofoil (Miscellaneous Cards & Products); Normal (Deck Exclusives); Normal (Aquapolis); Holofoil (SV: Shrouded Fable); Holofoil (Miscellaneous Cards & Products); 1st Edition Holofoil (Neo Genesis); Normal (SV: Shrouded Fable)
14,Larvitar,62/109,Team Rocket Returns,Normal,9,Back top corner and bottom corner,8,,,0,low,9,,,0,low,10,,,0,low,0.49,20,,,,Y,Normal (Mysterious Treasures); Normal (SM - Team Up); Normal (SM - Celestial Storm); Normal (Miscellaneous Cards & Products); Normal (Delta Species); Normal (World Championship Decks); Normal (Team Rocket Returns); Normal (Stormfront); Normal (Team Rocket Returns); Normal (Unseen Forces); 1st Edition (Neo Discovery); Normal (Emerald); Normal (Dragon Frontiers); Normal (Unleashed); Normal (Dragon Frontiers); Normal (Unleashed); Normal (XY - Fates Collide); Normal (XY - Fates Collide); Holofoil (SV03: Obsidian Flames); Normal (Expedition); Normal (SM - Lost Thunder); Normal (SM - Lost Thunder); Holofoil (Miscellaneous Cards & Products); Normal (SV02: Paldea Evolved); Holofoil (Miscellaneous Cards & Products); Normal (SV03: Obsidian Flames); Normal (SV10: Destined Rivals); Normal (Aquapolis); Normal (SWSH03: Darkness Ablaze); Normal (SV09: Journey Together); 1st Edition (Neo Destiny); Holofoil (SV: Prismatic Evolutions); Holofoil (SV: Prismatic Evolutions); Normal (SV: Prismatic Evolutions); Normal (Pokemon GO); Normal (POP Series 1)
15,Pikachu,58/102,Base Set,Normal,9,Back whitening dot (tiny),8,27.40,26.00,5,high,9,38.33,36.99,7,high,10,200.00,200.00,2,medium,4.63,20,33.70,13.70,55.6,Y,Normal (Base Set)
16,Pikachu,28,WoTC Promo,Normal,7,Back top and corner,6,,,0,low,7,,,0,low,8,47.87,45.00,5,high,33.29,20,,,,Y,Normal (WoTC Promo)
17,Pikachu,4,WoTC Promo,Normal,7,Whitening at the back,6,,,0,low,7,,,0,low,8,39.95,39.95,1,low,24.53,20,,,,Y,Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Holofoil (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo)
18,Pikachu,27,WoTC Promo,Normal,6,Front and back whitening,5,,,0,low,6,,,0,low,7,,,0,low,18.08,20,,,,Y,Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Holofoil (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo)
19,Pikachu,1,WoTC Promo,Normal,9,Dot on back right side,8,24.95,24.95,1,low,9,75.00,75.00,1,low,10,,,0,low,17.57,20,57.43,37.43,99.6,Y,Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Holofoil (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo)
20,Pikachu,25,WoTC Promo,Normal,9,Top back whitening,8,79.00,79.00,1,low,9,120.68,120.68,1,low,10,604.00,604.00,2,medium,59.59,20,61.09,41.09,51.6,Y,Normal (WoTC Promo)
21,Pikachu,26,WoTC Promo,Normal,9,Whitening at the back,8,60.00,60.00,1,low,9,112.47,112.47,2,medium,10,,,0,low,54.52,20,57.95,37.95,50.9,Y,Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Holofoil (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo)
22,Pikachu,60/64,Jungle,1st Edition,9,Very tiny dot,8,48.52,35.00,45,high,9,92.71,79.00,60,high,10,501.59,425.00,23,high,20.06,20,72.65,52.65,131.4,Y,1st Edition (Jungle)
22,Pikachu,60/64,Jungle,1st Edition,10,Very tiny dot,9,92.71,79.00,60,high,10,501.59,425.00,23,high,N/A,,,0,N/A,20.06,20,481.53,461.53,1152.1,Y,1st Edition (Jungle)
23,Dark Dragonite,15/109,Team Rocket Returns,Normal,9,Stain front (cannot be repaired),8,571.51,697.74,20,high,9,1222.00,1900.00,5,high,10,750.00,750.00,1,low,85.08,20,1136.92,1116.92,1062.9,Y,1st Edition (Team Rocket); Normal (Team Rocket Returns); 1st Edition Holofoil (Team Rocket); Holofoil (Deck Exclusives); Holofoil (Legendary Collection)
24,Espeon,H9/H32,Aquapolis,Holofoil,9,Very tiny dot corner back,8,,,0,low,9,770.16,650.50,6,high,10,7500.00,7500.00,1,low,339.08,20,431.08,411.08,114.5,Y,Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (Aquapolis); Holofoil (Black and White Promos); Normal (SM - Lost Thunder); Holofoil (Undaunted); Holofoil (SM - Unified Minds); Normal (World Championship Decks); Holofoil (SM Base Set); Normal (World Championship Decks); Holofoil (XY - BREAKpoint); Normal (Plasma Freeze); Normal (Dark Explorers); Holofoil (Call of Legends); Holofoil (Delta Species); Holofoil (SWSH08: Fusion Strike); 1st Edition (Neo Discovery); Holofoil (Undaunted); Holofoil (SWSH07: Evolving Skies); Normal (Rising Rivals); Normal (Majestic Dawn); Holofoil (SWSH07: Evolving Skies); Normal (Sandstorm); Normal (EX Battle Stadium); Holofoil (SV: Prismatic Evolutions); Holofoil (SM Base Set); Holofoil (SM Base Set); Holofoil (XY - BREAKpoint); Holofoil (Unseen Forces); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Battle Academy); Holofoil (Blister Exclusives); Holofoil (Miscellaneous Cards & Products); Normal (SV03: Obsidian Flames); Holofoil (SWSH07: Evolving Skies); Holofoil (Prize Pack Series Cards); Holofoil (Prize Pack Series Cards); Holofoil (SWSH07: Evolving Skies); Reverse Holofoil (League & Championship Cards); Reverse Holofoil (League & Championship Cards); Holofoil (Prize Pack Series Cards); Holofoil (SV: Prismatic Evolutions); Holofoil (Miscellaneous Cards & Products)
24,Espeon,H9/H32,Aquapolis,Holofoil,10,Very tiny dot corner back,9,770.16,650.50,6,high,10,7500.00,7500.00,1,low,N/A,,,0,N/A,339.08,20,7160.92,7140.92,1988.7,Y,Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (Aquapolis); Holofoil (Black and White Promos); Normal (SM - Lost Thunder); Holofoil (Undaunted); Holofoil (SM - Unified Minds); Normal (World Championship Decks); Holofoil (SM Base Set); Normal (World Championship Decks); Holofoil (XY - BREAKpoint); Normal (Plasma Freeze); Normal (Dark Explorers); Holofoil (Call of Legends); Holofoil (Delta Species); Holofoil (SWSH08: Fusion Strike); 1st Edition (Neo Discovery); Holofoil (Undaunted); Holofoil (SWSH07: Evolving Skies); Normal (Rising Rivals); Normal (Majestic Dawn); Holofoil (SWSH07: Evolving Skies); Normal (Sandstorm); Normal (EX Battle Stadium); Holofoil (SV: Prismatic Evolutions); Holofoil (SM Base Set); Holofoil (SM Base Set); Holofoil (XY - BREAKpoint); Holofoil (Unseen Forces); Normal (World Championship Decks); Normal (World Championship Decks); Normal (Battle Academy); Holofoil (Blister Exclusives); Holofoil (Miscellaneous Cards & Products); Normal (SV03: Obsidian Flames); Holofoil (SWSH07: Evolving Skies); Holofoil (Prize Pack Series Cards); Holofoil (Prize Pack Series Cards); Holofoil (SWSH07: Evolving Skies); Reverse Holofoil (League & Championship Cards); Reverse Holofoil (League & Championship Cards); Holofoil (Prize Pack Series Cards); Holofoil (SV: Prismatic Evolutions); Holofoil (Miscellaneous Cards & Products)
25,Lugia,9/111,Neo Genesis,1st Edition Holofoil,9,Whitening dot at back top,8,1352.34,689.00,11,high,9,3307.67,2035.99,6,high,10,,,0,low,1799.99,20,1507.68,1487.68,81.7,Y,1st Edition Holofoil (Neo Genesis)
26,Dark Metal Energy,94/109,Team Rocket Returns,Normal,9,Whitening dot at back top,8,,,0,low,9,35.76,35.76,2,medium,10,400.00,400.00,1,low,4.46,20,31.30,11.30,46.2,Y,Normal (Holon Phantoms); Normal (Team Rocket Returns)
27,Metal Energy,19/111,Neo Genesis,1st Edition Holofoil,9,Indent in front,8,,,0,low,9,,,0,low,10,,,0,low,25.53,20,,,,Y,1st Edition Holofoil (Neo Genesis)
28,Pikachu,4,WoTC Promo,Normal,9,Whitening at back,8,39.95,39.95,1,low,9,67.50,67.50,2,medium,10,,,0,low,24.53,20,42.97,22.97,51.6,Y,Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo); Holofoil (WoTC Promo); Normal (WoTC Promo); Normal (WoTC Promo)
29,Salamence,10/97,Dragon,Holofoil,9,Very tiny whitening at the back corner,8,129.99,129.99,1,low,9,169.00,169.00,1,low,10,466.10,466.10,2,medium,70.19,20,98.81,78.81,87.4,Y,Holofoil (XY Promos); Normal (XY Promos); Holofoil (XY Promos); Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (Arceus); Holofoil (Dragon Frontiers); Holofoil (Power Keepers); Holofoil (Arceus); Holofoil (Dragon Vault); Holofoil (Dragon Majesty); Holofoil (Plasma Blast); Holofoil (XY - Roaring Skies); Holofoil (Dragon Majesty); Normal (Stormfront); Holofoil (SWSH03: Darkness Ablaze); Normal (Dragon); Holofoil (Nintendo Promos); Holofoil (Nintendo Promos); Holofoil (SV09: Journey Together); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Secret Wonders); Holofoil (SV09: Journey Together); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Delta Species); Holofoil (SV09: Journey Together); Holofoil (Jumbo Cards); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH07: Evolving Skies); Holofoil (Miscellaneous Cards & Products); Holofoil (SM - Celestial Storm); Holofoil (Deoxys); Holofoil (Dragon); Normal (Deck Exclusives); Holofoil (Blister Exclusives); Reverse Holofoil (League & Championship Cards); Holofoil (Blister Exclusives); Reverse Holofoil (League & Championship Cards); Normal (Miscellaneous Cards & Products); Normal (Miscellaneous Cards & Products)
29,Salamence,10/97,Dragon,Holofoil,10,Very tiny whitening at the back corner,9,169.00,169.00,1,low,10,466.10,466.10,2,medium,N/A,,,0,N/A,70.19,20,395.91,375.91,416.8,Y,Holofoil (XY Promos); Normal (XY Promos); Holofoil (XY Promos); Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (Jumbo Cards); Holofoil (SM Promos); Holofoil (Arceus); Holofoil (Dragon Frontiers); Holofoil (Power Keepers); Holofoil (Arceus); Holofoil (Dragon Vault); Holofoil (Dragon Majesty); Holofoil (Plasma Blast); Holofoil (XY - Roaring Skies); Holofoil (Dragon Majesty); Normal (Stormfront); Holofoil (SWSH03: Darkness Ablaze); Normal (Dragon); Holofoil (Nintendo Promos); Holofoil (Nintendo Promos); Holofoil (SV09: Journey Together); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Secret Wonders); Holofoil (SV09: Journey Together); Holofoil (SWSH03: Darkness Ablaze); Holofoil (SWSH03: Darkness Ablaze); Holofoil (Delta Species); Holofoil (SV09: Journey Together); Holofoil (Jumbo Cards); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH07: Evolving Skies); Holofoil (Miscellaneous Cards & Products); Holofoil (SM - Celestial Storm); Holofoil (Deoxys); Holofoil (Dragon); Normal (Deck Exclusives); Holofoil (Blister Exclusives); Reverse Holofoil (League & Championship Cards); Holofoil (Blister Exclusives); Reverse Holofoil (League & Championship Cards); Normal (Miscellaneous Cards & Products); Normal (Miscellaneous Cards & Products)
30,Absol,1/97,Dragon,Holofoil,9,Tiny whitening at corner,8,83.16,81.00,12,high,9,117.10,120.50,5,high,10,850.00,850.00,3,medium,274.37,20,-157.27,-177.27,-60.2,Y,Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (Crown Zenith: Galarian Gallery); Holofoil (Team Magma vs Team Aqua); Holofoil (Power Keepers); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Triumphant); Holofoil (SM - Team Up); Holofoil (SM - Guardians Rising); Holofoil (Plasma Freeze); Holofoil (XY - Roaring Skies); Normal (World Championship Decks); Normal (Champion's Path); Holofoil (SV03: Obsidian Flames); Normal (Secret Wonders); Holofoil (ME01: Mega Evolution); Normal (Holon Phantoms); Normal (SWSH08: Fusion Strike); Holofoil (ME01: Mega Evolution); Normal (Legend Maker); Holofoil (Supreme Victors); Holofoil (SV03: Obsidian Flames); Normal (SM - Cosmic Eclipse); Normal (SV04: Paradox Rift); Holofoil (Dragon); Holofoil (Supreme Victors); Normal (Deck Exclusives); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH10: Astral Radiance); Holofoil (Prize Pack Series Cards); Holofoil (ME01: Mega Evolution); Holofoil (Crown Zenith); Normal (Deck Exclusives); Normal (ME02: Phantasmal Flames); Normal (SV: Shrouded Fable); Normal (XY - Roaring Skies)
30,Absol,1/97,Dragon,Holofoil,10,Tiny whitening at corner,9,117.10,120.50,5,high,10,850.00,850.00,3,medium,N/A,,,0,N/A,274.37,20,575.63,555.63,188.8,Y,Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (Crown Zenith: Galarian Gallery); Holofoil (Team Magma vs Team Aqua); Holofoil (Power Keepers); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Triumphant); Holofoil (SM - Team Up); Holofoil (SM - Guardians Rising); Holofoil (Plasma Freeze); Holofoil (XY - Roaring Skies); Normal (World Championship Decks); Normal (Champion's Path); Holofoil (SV03: Obsidian Flames); Normal (Secret Wonders); Holofoil (ME01: Mega Evolution); Normal (Holon Phantoms); Normal (SWSH08: Fusion Strike); Holofoil (ME01: Mega Evolution); Normal (Legend Maker); Holofoil (Supreme Victors); Holofoil (SV03: Obsidian Flames); Normal (SM - Cosmic Eclipse); Normal (SV04: Paradox Rift); Holofoil (Dragon); Holofoil (Supreme Victors); Normal (Deck Exclusives); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH10: Astral Radiance); Holofoil (Prize Pack Series Cards); Holofoil (ME01: Mega Evolution); Holofoil (Crown Zenith); Normal (Deck Exclusives); Normal (ME02: Phantasmal Flames); Normal (SV: Shrouded Fable); Normal (XY - Roaring Skies)
31,Kyogre,3/95,Team Magma vs Team Aqua,Holofoil,9,One dot at back corner,8,80.00,80.00,1,low,9,262.00,262.00,2,medium,10,1578.00,1578.00,2,medium,48.89,20,213.11,193.11,280.3,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Call of Legends); Holofoil (XY - Ancient Origins); Holofoil (Crystal Guardians); Holofoil (Hidden Legends); Holofoil (Undaunted); Holofoil (Undaunted); Holofoil (Double Crisis); Holofoil (Emerald); Holofoil (XY - Primal Clash); Holofoil (XY - Primal Clash); Normal (SM - Cosmic Eclipse); Normal (XY - Primal Clash); Holofoil (SM - Celestial Storm); Holofoil (Team Magma vs Team Aqua); Holofoil (Dark Explorers); Holofoil (SV: Scarlet & Violet Promo Cards); Normal (Emerald); Holofoil (XY - Primal Clash); Holofoil (XY - Primal Clash); Normal (XY - Primal Clash); Holofoil (Call of Legends); Holofoil (Delta Species); Holofoil (Dark Explorers); Holofoil (Jumbo Cards); Holofoil (Deck Exclusives); Holofoil (Deck Exclusives); Holofoil (Crown Zenith); Holofoil (Nintendo Promos); Holofoil (Miscellaneous Cards & Products); Holofoil (Prize Pack Series Cards); Holofoil (Crown Zenith); Holofoil (Miscellaneous Cards & Products); Holofoil (ME01: Mega Evolution); Normal (Legends Awakened); Holofoil (Shining Fates); Normal (Deck Exclusives); Holofoil (Celebrations); Normal (World Championship Decks); Holofoil (Nintendo Promos); Normal (Miscellaneous Cards & Products); Normal (World Championship Decks); Normal (XY - Primal Clash)
31,Kyogre,3/95,Team Magma vs Team Aqua,Holofoil,10,One dot at back corner,9,262.00,262.00,2,medium,10,1578.00,1578.00,2,medium,N/A,,,0,N/A,48.89,20,1529.11,1509.11,2190.6,Y,Holofoil (XY Promos); Holofoil (XY Promos); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Call of Legends); Holofoil (XY - Ancient Origins); Holofoil (Crystal Guardians); Holofoil (Hidden Legends); Holofoil (Undaunted); Holofoil (Undaunted); Holofoil (Double Crisis); Holofoil (Emerald); Holofoil (XY - Primal Clash); Holofoil (XY - Primal Clash); Normal (SM - Cosmic Eclipse); Normal (XY - Primal Clash); Holofoil (SM - Celestial Storm); Holofoil (Team Magma vs Team Aqua); Holofoil (Dark Explorers); Holofoil (SV: Scarlet & Violet Promo Cards); Normal (Emerald); Holofoil (XY - Primal Clash); Holofoil (XY - Primal Clash); Normal (XY - Primal Clash); Holofoil (Call of Legends); Holofoil (Delta Species); Holofoil (Dark Explorers); Holofoil (Jumbo Cards); Holofoil (Deck Exclusives); Holofoil (Deck Exclusives); Holofoil (Crown Zenith); Holofoil (Nintendo Promos); Holofoil (Miscellaneous Cards & Products); Holofoil (Prize Pack Series Cards); Holofoil (Crown Zenith); Holofoil (Miscellaneous Cards & Products); Holofoil (ME01: Mega Evolution); Normal (Legends Awakened); Holofoil (Shining Fates); Normal (Deck Exclusives); Holofoil (Celebrations); Normal (World Championship Decks); Holofoil (Nintendo Promos); Normal (Miscellaneous Cards & Products); Normal (World Championship Decks); Normal (XY - Primal Clash)
32,Metal Energy,19/111,Neo Genesis,1st Edition Holofoil,9,Very faint print line (on holo),8,,,0,low,9,,,0,low,10,,,0,low,25.53,20,,,,Y,1st Edition Holofoil (Neo Genesis)
32,Metal Energy,19/111,Neo Genesis,1st Edition Holofoil,10,Very faint print line (on holo),9,,,0,low,10,,,0,low,N/A,,,0,N/A,25.53,20,,,,Y,1st Edition Holofoil (Neo Genesis)
33,Delcatty,5/109,Ruby and Sapphire,Holofoil,9,Centering back,8,29.95,29.95,1,low,9,,,0,low,10,,,0,low,14.89,20,,,,Y,Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Crystal Guardians); Holofoil (Power Keepers); Holofoil (Ruby and Sapphire); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Legend Maker); Holofoil (Platinum); Normal (Sandstorm); Normal (EX Trainer Kit 1: Latias & Latios); Normal (Ruby and Sapphire); Normal (EX Battle Stadium); Normal (XY Trainer Kit: Latias & Latios); Normal (Legends Awakened); Normal (SWSH08: Fusion Strike); Normal (XY Trainer Kit: Latias & Latios); Normal (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Normal (SWSH03: Darkness Ablaze); Normal (SV05: Temporal Forces); Normal (Deck Exclusives); Holofoil (SM - Celestial Storm); Normal (XY - Primal Clash); Normal (Boundaries Crossed); Normal (XY Base Set); Normal (Deck Exclusives)
