No,Card,CardNumber,ExpectedGrade,SearchQuery,MatchedName,MatchedSet,Printing,TCGPlayerId,CardNum,MarketPrice,Selected
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Mewtwo GX (Secret),Shining Legends,Holofoil,146697,76/73,70.2,N
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Mewtwo GX (Full Art),Shining Legends,Holofoil,146696,72/73,18.13,N
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Mewtwo GX,Shining Legends,Holofoil,146695,39/73,8.15,N
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Shining Mewtwo,Neo Destiny,1st Edition Holofoil,89167,109/105,500,Y
9,Shining Mewtwo,109/105,6/7,Shining Mewtwo,Code Card - Shining Legends Pin Collection: Mewtwo,Shining Legends,Normal,476524,,0.24,N
10,Shining Kabutops,108/105,7,Shining Kabutops,Shining Kabutops,Neo Destiny,Unlimited Holofoil,89165,108/105,295.28,Y
11,Shining Gyarados,65/64,5,Shining Gyarados,Shining Gyarados,Neo Revelation,Unlimited Holofoil,89164,65/64,516.24,Y
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Rocket's Mewtwo ex,Team Rocket Returns,Holofoil,88778,99/109,579.99,Y
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 281/217,ME: Ascended Heroes,Holofoil,676093,281/217,350,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 240/182,SV10: Destined Rivals,Holofoil,633040,240/182,53.18,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 231/182,SV10: Destined Rivals,Holofoil,633031,231/182,403.15,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 216,SV: Scarlet & Violet Promo Cards,Holofoil,653257,216,2.13,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 213/182,SV10: Destined Rivals,Holofoil,633013,213/182,16.88,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,SV: Scarlet & Violet Promo Cards,Holofoil,637617,205,1.83,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,Jumbo Cards,Holofoil,639951,205,2,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 081/182,SV10: Destined Rivals,Holofoil,632891,081/182,1.12,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex - 079/217,ME: Ascended Heroes,Holofoil,675891,079/217,2.22,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,Prize Pack Series Cards,Holofoil,677318,079/217,65,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Code Card - Team Rocket Tin [Team Rocket's Mewtwo ex],Miscellaneous Cards & Products,Normal,651986,,0.88,N
12,Rocket's Mewtwo ex,99/109,9,Rocket's Mewtwo ex,Code Card - Team Rocket's Mewtwo ex League Battle Deck,Miscellaneous Cards & Products,Normal,662505,,2.96,N
13,Kingdra,8/111,4,Kingdra,Kingdra - XY39 (Prerelease) [Staff],XY Promos,Holofoil,96414,XY39,85.63,N
13,Kingdra,8/111,4,Kingdra,Kingdra - XY39 (Prerelease),XY Promos,Holofoil,96413,XY39,28.81,N
13,Kingdra,8/111,4,Kingdra,Kingdra,SWSH10: Astral Radiance Trainer Gallery,Holofoil,272474,TG03/TG30,6.84,N
13,Kingdra,8/111,4,Kingdra,Kingdra GX - SM155,SM Promos,Holofoil,178693,SM155,9.21,N
13,Kingdra,8/111,4,Kingdra,Kingdra (H14),Aquapolis,Holofoil,86441,H14/H32,75,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex (Delta Species),Dragon Frontiers,Holofoil,86452,94/101,48.36,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex,Dragon,Holofoil,86451,92/97,75.59,N
13,Kingdra,8/111,4,Kingdra,Kingdra (Prime),Unleashed,Holofoil,86448,85/95,40.26,N
13,Kingdra,8/111,4,Kingdra,Kingdra - 2011 (Gustavo Wada),World Championship Decks,Normal,480416,85/95,6.93,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Plasma Freeze,Holofoil,86449,84/116,1.96,N
13,Kingdra,8/111,4,Kingdra,Kingdra EX,XY - Fates Collide,Holofoil,117848,73/124,2.58,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Legends Awakened,Holofoil,86446,7/146,14.17,N
13,Kingdra,8/111,4,Kingdra,Kingdra GX (Full Art),Dragon Majesty,Holofoil,175496,66/70,7.46,N
13,Kingdra,8/111,4,Kingdra,Kingdra,SM - Burning Shadows,Holofoil,138511,31/147,0.46,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Neo Revelation,1st Edition,86442,19/64,11.07,N
13,Kingdra,8/111,4,Kingdra,Kingdra GX,Dragon Majesty,Holofoil,175380,18/70,3.07,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Unleashed,Normal,86447,17/95,2.33,N
13,Kingdra,8/111,4,Kingdra,Kingdra (148),Aquapolis,Holofoil,86444,148/147,205.34,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex - 131,SV: Scarlet & Violet Promo Cards,Holofoil,562019,131,62.67,N
13,Kingdra,8/111,4,Kingdra,Kingdra EX (Full Art),XY - Fates Collide,Holofoil,117894,122/124,14.87,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Team Rocket Returns,Holofoil,86445,12/109,28.11,N
13,Kingdra,8/111,4,Kingdra,Kingdra (Alpha),XY - Primal Clash,Holofoil,96006,108/160,9.29,N
13,Kingdra,8/111,4,Kingdra,Kingdra,XY - Primal Clash,Normal,96005,107/160,0.45,N
13,Kingdra,8/111,4,Kingdra,Kingdra (Delta Species),Holon Phantoms,Holofoil,86450,10/110,41.41,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex - 080/064,SV: Shrouded Fable,Holofoil,560391,080/064,2.82,N
13,Kingdra,8/111,4,Kingdra,Kingdra EX - 73/124,Jumbo Cards,Holofoil,131868,073/124,7.48,N
13,Kingdra,8/111,4,Kingdra,Kingdra - 037/196,Deck Exclusives,Normal,449536,037/196,0.15,N
13,Kingdra,8/111,4,Kingdra,Kingdra,SWSH11: Lost Origin,Holofoil,283911,037/196,0.19,N
13,Kingdra,8/111,4,Kingdra,Kingdra,SWSH05: Battle Styles,Holofoil,234161,033/163,0.32,N
13,Kingdra,8/111,4,Kingdra,Kingdra,SV04: Paradox Rift,Holofoil,523641,032/182,0.21,N
13,Kingdra,8/111,4,Kingdra,Kingdra (Cosmos Holo),Miscellaneous Cards & Products,Holofoil,617017,032/182,6.11,N
13,Kingdra,8/111,4,Kingdra,Kingdra - 31/147 (SM Burning Shadows),Deck Exclusives,Normal,169761,031/147,0.62,N
13,Kingdra,8/111,4,Kingdra,Kingdra (19),Aquapolis,Normal,86443,019/147,7.45,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex - 012/064,SV: Shrouded Fable,Holofoil,560322,012/064,0.64,N
13,Kingdra,8/111,4,Kingdra,Kingdra ex (Shrouded Fable Stamped),Miscellaneous Cards & Products,Holofoil,664058,012/064,0.98,N
13,Kingdra,8/111,4,Kingdra,Kingdra,Neo Genesis,1st Edition Holofoil,86440,008/111,53.12,Y
13,Kingdra,8/111,4,Kingdra,Code Card - Shrouded Fable Kingdra ex Special Illustration Collection,SV: Shrouded Fable,Normal,562363,,0.09,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Mysterious Treasures,Normal,86642,87/123,0.41,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SM - Team Up,Normal,183857,79/181,0.19,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SM - Celestial Storm,Normal,170896,74/168,0.18,N
14,Larvitar,62/109,9,Larvitar,Larvitar (Delta Species Stamp),Miscellaneous Cards & Products,Normal,637079,73/113,44.99,N
14,Larvitar,62/109,9,Larvitar,Larvitar (Delta Species),Delta Species,Normal,86646,73/113,1.43,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 2005 (Takashi Yoneda),World Championship Decks,Normal,477544,63/109,0.98,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 063/109,Team Rocket Returns,Normal,86638,63/109,1.89,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Stormfront,Normal,86643,63/100,0.69,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 062/109,Team Rocket Returns,Normal,86637,62/109,0.49,Y
14,Larvitar,62/109,9,Larvitar,Larvitar,Unseen Forces,Normal,86640,61/115,0.39,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Neo Discovery,1st Edition,86632,57/75,1.96,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Emerald,Normal,86639,52/106,0.73,N
14,Larvitar,62/109,9,Larvitar,Larvitar (Delta Species),Dragon Frontiers,Normal,86647,52/101,0.4,N
14,Larvitar,62/109,9,Larvitar,Larvitar (51),Unleashed,Normal,86645,51/95,0.33,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Dragon Frontiers,Normal,86641,51/101,0.38,N
14,Larvitar,62/109,9,Larvitar,Larvitar (50),Unleashed,Normal,86644,50/95,0.55,N
14,Larvitar,62/109,9,Larvitar,Larvitar (41),XY - Fates Collide,Normal,117801,41/124,0.16,N
14,Larvitar,62/109,9,Larvitar,Larvitar (40),XY - Fates Collide,Normal,117800,40/124,0.16,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 203/197,SV03: Obsidian Flames,Holofoil,509950,203/197,4.4,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Expedition,Normal,86635,116/165,2.4,N
14,Larvitar,62/109,9,Larvitar,Larvitar (115),SM - Lost Thunder,Normal,178928,115/214,0.17,N
14,Larvitar,62/109,9,Larvitar,Larvitar (114),SM - Lost Thunder,Normal,178927,114/214,0.21,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 110/193 (Cosmo Foil),Miscellaneous Cards & Products,Holofoil,610124,110/193,0.3,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SV02: Paldea Evolved,Normal,497525,110/193,0.07,N
14,Larvitar,62/109,9,Larvitar,Larvitar - 105/197 (Cosmos Holo),Miscellaneous Cards & Products,Holofoil,602840,105/197,0.43,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SV03: Obsidian Flames,Normal,509792,105/197,0.08,N
14,Larvitar,62/109,9,Larvitar,Team Rocket's Larvitar,SV10: Destined Rivals,Normal,632903,094/182,0.09,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Aquapolis,Normal,86634,089/147,3.77,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SWSH03: Darkness Ablaze,Normal,219474,086/189,0.11,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SV09: Journey Together,Normal,623507,080/159,0.08,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Neo Destiny,1st Edition,86633,070/105,6.98,N
14,Larvitar,62/109,9,Larvitar,Larvitar (Poke Ball Pattern),SV: Prismatic Evolutions,Holofoil,610569,047/131,0.35,N
14,Larvitar,62/109,9,Larvitar,Larvitar (Master Ball Pattern),SV: Prismatic Evolutions,Holofoil,610670,047/131,2.21,N
14,Larvitar,62/109,9,Larvitar,Larvitar,SV: Prismatic Evolutions,Normal,610402,047/131,0.06,N
14,Larvitar,62/109,9,Larvitar,Larvitar,Pokemon GO,Normal,276984,037/078,0.11,N
14,Larvitar,62/109,9,Larvitar,Larvitar,POP Series 1,Normal,86636,011/017,1.46,N
15,Pikachu,58/102,9,Pikachu,Pikachu,Base Set,Normal,42402,058/102,4.63,Y
16,Pikachu,28,7,Surfing Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,Y
17,Pikachu,4,7,Pikachu,Pikachu [W Stamped],WoTC Promo,Normal,126209,60/64,86.61,N
17,Pikachu,4,7,Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,N
17,Pikachu,4,7,Pikachu,Pikachu (27),WoTC Promo,Normal,88069,27/53,18.08,N
17,Pikachu,4,7,Pikachu,Pikachu (Baby),WoTC Promo,Normal,161747,27,17.67,N
17,Pikachu,4,7,Pikachu,Pikachu (SNAP Promo),WoTC Promo,Normal,88068,26/53,54.52,N
17,Pikachu,4,7,Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,N
17,Pikachu,4,7,Pikachu,______'s Pikachu,WoTC Promo,Holofoil,90784,24/53,202.48,N
17,Pikachu,4,7,Pikachu,Pikachu (Movie Promo),WoTC Promo,Normal,88066,04/53,24.53,Y
17,Pikachu,4,7,Pikachu,Pikachu (1),WoTC Promo,Normal,121772,01/53,17.57,N
18,Pikachu,27,6,Pikachu,Pikachu [W Stamped],WoTC Promo,Normal,126209,60/64,86.61,N
18,Pikachu,27,6,Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,N
18,Pikachu,27,6,Pikachu,Pikachu (27),WoTC Promo,Normal,88069,27/53,18.08,Y
18,Pikachu,27,6,Pikachu,Pikachu (Baby),WoTC Promo,Normal,161747,27,17.67,N
18,Pikachu,27,6,Pikachu,Pikachu (SNAP Promo),WoTC Promo,Normal,88068,26/53,54.52,N
18,Pikachu,27,6,Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,N
18,Pikachu,27,6,Pikachu,______'s Pikachu,WoTC Promo,Holofoil,90784,24/53,202.48,N
18,Pikachu,27,6,Pikachu,Pikachu (Movie Promo),WoTC Promo,Normal,88066,04/53,24.53,N
18,Pikachu,27,6,Pikachu,Pikachu (1),WoTC Promo,Normal,121772,01/53,17.57,N
19,Pikachu,1,9,Pikachu,Pikachu [W Stamped],WoTC Promo,Normal,126209,60/64,86.61,N
19,Pikachu,1,9,Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,N
19,Pikachu,1,9,Pikachu,Pikachu (27),WoTC Promo,Normal,88069,27/53,18.08,N
19,Pikachu,1,9,Pikachu,Pikachu (Baby),WoTC Promo,Normal,161747,27,17.67,N
19,Pikachu,1,9,Pikachu,Pikachu (SNAP Promo),WoTC Promo,Normal,88068,26/53,54.52,N
19,Pikachu,1,9,Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,N
19,Pikachu,1,9,Pikachu,______'s Pikachu,WoTC Promo,Holofoil,90784,24/53,202.48,N
19,Pikachu,1,9,Pikachu,Pikachu (Movie Promo),WoTC Promo,Normal,88066,04/53,24.53,N
19,Pikachu,1,9,Pikachu,Pikachu (1),WoTC Promo,Normal,121772,01/53,17.57,Y
20,Pikachu,25,9,Flying Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,Y
21,Pikachu,26,9,Pikachu,Pikachu [W Stamped],WoTC Promo,Normal,126209,60/64,86.61,N
21,Pikachu,26,9,Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,N
21,Pikachu,26,9,Pikachu,Pikachu (27),WoTC Promo,Normal,88069,27/53,18.08,N
21,Pikachu,26,9,Pikachu,Pikachu (Baby),WoTC Promo,Normal,161747,27,17.67,N
21,Pikachu,26,9,Pikachu,Pikachu (SNAP Promo),WoTC Promo,Normal,88068,26/53,54.52,Y
21,Pikachu,26,9,Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,N
21,Pikachu,26,9,Pikachu,______'s Pikachu,WoTC Promo,Holofoil,90784,24/53,202.48,N
21,Pikachu,26,9,Pikachu,Pikachu (Movie Promo),WoTC Promo,Normal,88066,04/53,24.53,N
21,Pikachu,26,9,Pikachu,Pikachu (1),WoTC Promo,Normal,121772,01/53,17.57,N
22,Pikachu,60/64,9/10,Pikachu,Pikachu,Jungle,1st Edition,45163,60/64,20.06,Y
23,Dark Dragonite,15/109,9,Dark Dragonite,Dark Dragonite (22),Team Rocket,1st Edition,84586,22/82,42.84,N
23,Dark Dragonite,15/109,9,Dark Dragonite,Dark Dragonite,Team Rocket Returns,Normal,84587,15/109,85.08,Y
23,Dark Dragonite,15/109,9,Dark Dragonite,Dark Dragonite (5),Team Rocket,1st Edition Holofoil,84584,05/82,342.66,N
23,Dark Dragonite,15/109,9,Dark Dragonite,Dark Dragonite - 15/109 (EX Team Rocket Returns),Deck Exclusives,Holofoil,97956,015/109,112.7,N
23,Dark Dragonite,15/109,9,Dark Dragonite,Dark Dragonite,Legendary Collection,Holofoil,84585,005/110,188.89,N
24,Espeon,H9/H32,9/10,Espeon,Espeon V - SWSH201,SWSH: Sword & Shield Promo Cards,Holofoil,268710,SWSH201,1.75,N
24,Espeon,H9/H32,9/10,Espeon,Espeon - SWSH174,SWSH: Sword & Shield Promo Cards,Holofoil,253410,SWSH174,8.36,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 175,SV: Scarlet & Violet Promo Cards,Holofoil,655095,SVP 175,14.77,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX,Hidden Fates: Shiny Vault,Holofoil,197808,SV60/SV94,108.64,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX - SM35,SM Promos,Holofoil,137525,SM35,18.75,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX - SM35 (SM Black Star Promos),Jumbo Cards,Holofoil,152931,SM35,21.74,N
24,Espeon,H9/H32,9/10,Espeon,Espeon & Deoxys GX - SM240,SM Promos,Holofoil,211455,SM240,90.98,N
24,Espeon,H9/H32,9/10,Espeon,Espeon & Deoxys GX Oversized - SM240 (SM Black Star Promo),Jumbo Cards,Holofoil,211454,SM240,19.1,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (H9),Aquapolis,Holofoil,85317,H09/H32,339.08,Y
24,Espeon,H9/H32,9/10,Espeon,Espeon - BW92,Black and White Promos,Holofoil,85326,BW92,59.96,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,SM - Lost Thunder,Normal,178900,89/214,2.98,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (Prime),Undaunted,Holofoil,85323,81/90,148.42,N
24,Espeon,H9/H32,9/10,Espeon,Espeon & Deoxys GX,SM - Unified Minds,Holofoil,195000,72/236,36.37,N
24,Espeon,H9/H32,9/10,Espeon,Espeon & Deoxys GX - 2019 (Henry Brand),World Championship Decks,Normal,482061,72/236,21.34,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX,SM Base Set,Holofoil,126932,61/149,5.17,N
24,Espeon,H9/H32,9/10,Espeon,Espeon EX - 2017 (Kabu Fukase),World Championship Decks,Normal,481854,52/122,16.96,N
24,Espeon,H9/H32,9/10,Espeon,Espeon EX,XY - BREAKpoint,Holofoil,111557,52/122,17.22,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (Team Plasma),Plasma Freeze,Normal,85328,48/116,4.82,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,Dark Explorers,Normal,85325,48/108,7.11,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,Call of Legends,Holofoil,85324,4/95,37.31,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (Delta Species),Delta Species,Holofoil,85327,4/113,165.49,N
24,Espeon,H9/H32,9/10,Espeon,Espeon VMAX (Alternate Art Secret),SWSH08: Fusion Strike,Holofoil,253265,270/264,299.83,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (20),Neo Discovery,1st Edition,85320,20/75,65.7,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,Undaunted,Holofoil,85322,2/90,39.68,N
24,Espeon,H9/H32,9/10,Espeon,Espeon V (Alternate Full Art),SWSH07: Evolving Skies,Holofoil,246689,180/203,177.2,N
24,Espeon,H9/H32,9/10,Espeon,Espeon E4,Rising Rivals,Normal,85330,18/111,9.36,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,Majestic Dawn,Normal,85321,18/100,9.41,N
24,Espeon,H9/H32,9/10,Espeon,Espeon V (Full Art),SWSH07: Evolving Skies,Holofoil,246687,179/203,18.4,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,Sandstorm,Normal,85319,16/100,11.03,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,EX Battle Stadium,Normal,125145,16,6.21,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 155/131,SV: Prismatic Evolutions,Holofoil,610510,155/131,199.06,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX (Secret),SM Base Set,Holofoil,127191,152/149,39.91,N
24,Espeon,H9/H32,9/10,Espeon,Espeon GX (Full Art),SM Base Set,Holofoil,127012,140/149,20.12,N
24,Espeon,H9/H32,9/10,Espeon,Espeon EX (Full Art),XY - BREAKpoint,Holofoil,111558,117/122,74.73,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex,Unseen Forces,Holofoil,85331,102/115,514.5,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 2006 (Jimmy Ballard),World Championship Decks,Normal,477615,102/115,28.67,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 2007 (Tom Roos),World Championship Decks,Normal,479658,102/115,24.28,N
24,Espeon,H9/H32,9/10,Espeon,Espeon - 89/214 (Mewtwo Stamped),Battle Academy,Normal,219172,089/214,1.07,N
24,Espeon,H9/H32,9/10,Espeon,Espeon - 89/214 (Cosmos Holo),Blister Exclusives,Holofoil,229577,089/214,12.97,N
24,Espeon,H9/H32,9/10,Espeon,Espeon (Best Buy Exclusive),Miscellaneous Cards & Products,Holofoil,512584,086/197,9.86,N
24,Espeon,H9/H32,9/10,Espeon,Espeon,SV03: Obsidian Flames,Normal,509848,086/197,0.22,N
24,Espeon,H9/H32,9/10,Espeon,Espeon VMAX,SWSH07: Evolving Skies,Holofoil,246690,065/203,10.96,N
24,Espeon,H9/H32,9/10,Espeon,Espeon VMAX,Prize Pack Series Cards,Holofoil,476021,065/203,121.03,N
24,Espeon,H9/H32,9/10,Espeon,Espeon V,Prize Pack Series Cards,Holofoil,476020,064/203,17.27,N
24,Espeon,H9/H32,9/10,Espeon,Espeon V,SWSH07: Evolving Skies,Holofoil,246684,064/203,2.02,N
24,Espeon,H9/H32,9/10,Espeon,Espeon - 48/108 (National Championships),League & Championship Cards,Reverse Holofoil,231414,048/108,69.99,N
24,Espeon,H9/H32,9/10,Espeon,Espeon - 48/108 (National Championships) [Staff],League & Championship Cards,Reverse Holofoil,231415,048/108,359.99,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 034/131,Prize Pack Series Cards,Holofoil,648636,034/131,14.25,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 034/131,SV: Prismatic Evolutions,Holofoil,610389,034/131,2.35,N
24,Espeon,H9/H32,9/10,Espeon,Espeon ex - 034/131 (Prismatic Evolutions Stamp),Miscellaneous Cards & Products,Holofoil,618101,034/131,5.05,N
25,Lugia,9/111,9,Lugia,Lugia,Neo Genesis,1st Edition Holofoil,86903,009/111,1799.99,Y
26,Dark Metal Energy,94/109,9,Dark Metal Energy,Dark Metal Energy,Holon Phantoms,Normal,84629,97/110,2.02,N
26,Dark Metal Energy,94/109,9,Dark Metal Energy,Dark Metal Energy,Team Rocket Returns,Normal,84628,94/109,4.46,Y
27,Metal Energy,19/111,9,Metal Energy,Metal Energy,Neo Genesis,1st Edition Holofoil,87368,019/111,25.53,Y
28,Pikachu,4,9,Pikachu,Pikachu [W Stamped],WoTC Promo,Normal,126209,60/64,86.61,N
28,Pikachu,4,9,Pikachu,Surfing Pikachu,WoTC Promo,Normal,89643,28/53,33.29,N
28,Pikachu,4,9,Pikachu,Pikachu (27),WoTC Promo,Normal,88069,27/53,18.08,N
28,Pikachu,4,9,Pikachu,Pikachu (Baby),WoTC Promo,Normal,161747,27,17.67,N
28,Pikachu,4,9,Pikachu,Pikachu (SNAP Promo),WoTC Promo,Normal,88068,26/53,54.52,N
28,Pikachu,4,9,Pikachu,Flying Pikachu,WoTC Promo,Normal,85534,25/53,59.59,N
28,Pikachu,4,9,Pikachu,______'s Pikachu,WoTC Promo,Holofoil,90784,24/53,202.48,N
28,Pikachu,4,9,Pikachu,Pikachu (Movie Promo),WoTC Promo,Normal,88066,04/53,24.53,Y
28,Pikachu,4,9,Pikachu,Pikachu (1),WoTC Promo,Normal,121772,01/53,17.57,N
29,Salamence,10/97,9/10,Salamence,Salamence - XY59,XY Promos,Holofoil,108595,XY59,40.97,N
29,Salamence,10/97,9/10,Salamence,Salamence Spirit Link,XY Promos,Normal,126567,XY172,3.29,N
29,Salamence,10/97,9/10,Salamence,M Salamence EX - XY171,XY Promos,Holofoil,126566,XY171,54.39,N
29,Salamence,10/97,9/10,Salamence,M Salamence EX - XY171,Jumbo Cards,Holofoil,211486,XY171,16.12,N
29,Salamence,10/97,9/10,Salamence,Salamence EX - XY170,XY Promos,Holofoil,126565,XY170,14.13,N
